주문번호,주문일,주문시간,채널,카테고리,상품명,SKU,수량,단가,합계,배송지역,주문상태
PUB-260501-0019,2026-05-01,17:24,브루펍포스,협업,아침에쌀,ACH-500,2,9500,19000,부산,현장판매
PUB-260501-0020,2026-05-01,22:07,브루펍포스,협업,아침에쌀,ACH-500,2,9500,19000,인천,현장판매
PUB-260501-0021,2026-05-01,18:15,브루펍포스,협업,아침에쌀,ACH-500,2,9500,19000,부산,현장판매
PUB-260501-0022,2026-05-01,16:50,브루펍포스,시그니처,텃밭,TEO-750,1,14500,14500,서울,현장판매
PUB-260501-0023,2026-05-01,11:34,브루펍포스,시그니처,산뜻,SAN-750,1,13000,13000,부산,현장판매
PUB-260501-0024,2026-05-01,18:26,브루펍포스,시즈널,광안밤,GWA-375,1,8500,8500,기타,현장판매
PUB-260501-0024,2026-05-01,18:26,브루펍포스,시그니처,텃밭,TEO-750,1,14500,14500,기타,현장판매
PUB-260501-0025,2026-05-01,18:49,브루펍포스,협업,아침에쌀,ACH-500,1,9500,9500,대구,현장판매
PUB-260501-0026,2026-05-01,20:17,브루펍포스,시그니처,욕망의 거친 물결,YOK-750,1,14000,14000,기타,현장판매
PUB-260501-0027,2026-05-01,19:01,브루펍포스,시즈널,광안밤,GWA-375,2,8500,17000,부산,현장판매
PUB-260501-0028,2026-05-01,22:42,브루펍포스,시즈널,광안밤,GWA-375,2,8500,17000,대구,현장판매
PUB-260501-0029,2026-05-01,16:37,브루펍포스,시그니처,욕망의 거친 물결,YOK-750,2,14000,28000,대구,현장판매
PUB-260501-0029,2026-05-01,16:37,브루펍포스,시그니처,텃밭,TEO-750,2,14500,29000,대구,현장판매
PUB-260501-0030,2026-05-01,22:33,브루펍포스,시그니처,산뜻,SAN-750,1,13000,13000,부산,현장판매
PUB-260501-0031,2026-05-01,18:45,브루펍포스,시그니처,산뜻,SAN-750,1,13000,13000,부산,현장판매
MAL-260501-0001,2026-05-01,16:44,자사몰,협업,아침에쌀,ACH-500,2,10000,20000,서울,배송완료
MAL-260501-0002,2026-05-01,18:50,자사몰,협업,아침에쌀,ACH-500,1,10000,10000,부산,배송완료
MAL-260501-0002,2026-05-01,18:50,자사몰,시그니처,욕망의 거친 물결,YOK-750,1,15000,15000,부산,배송완료
MAL-260501-0003,2026-05-01,19:36,자사몰,시그니처,텃밭,TEO-750,1,15500,15500,서울,배송완료
MAL-260501-0004,2026-05-01,21:22,자사몰,시그니처,텃밭,TEO-750,2,15500,31000,부산,배송완료
MAL-260501-0004,2026-05-01,21:22,자사몰,협업,아침에쌀,ACH-500,1,10000,10000,부산,배송완료
MAL-260501-0005,2026-05-01,18:01,자사몰,시즈널,광안밤,GWA-375,2,9300,18600,부산,배송완료
MAL-260501-0006,2026-05-01,17:50,자사몰,협업,아침에쌀,ACH-500,2,10000,20000,부산,배송완료
MAL-260501-0007,2026-05-01,19:15,자사몰,협업,아침에쌀,ACH-500,2,10000,20000,기타,배송완료
MAL-260501-0008,2026-05-01,18:11,자사몰,시그니처,텃밭,TEO-750,1,15500,15500,서울,배송완료
MAL-260501-0009,2026-05-01,23:50,자사몰,시그니처,욕망의 거친 물결,YOK-750,2,15000,30000,대구,배송완료
SST-260501-0001,2026-05-01,23:42,스마트스토어,시즈널,대추걸렸네,DAE-375,2,8500,17000,서울,배송완료
SST-260501-0001,2026-05-01,23:42,스마트스토어,시그니처,산뜻,SAN-750,1,13500,13500,서울,배송완료
SST-260501-0002,2026-05-01,13:21,스마트스토어,시즈널,광안밤,GWA-375,2,9000,18000,서울,배송완료
SST-260501-0003,2026-05-01,19:15,스마트스토어,시그니처,욕망의 거친 물결,YOK-750,2,14500,29000,울산,배송완료
SST-260501-0004,2026-05-01,22:15,스마트스토어,협업,아침에쌀,ACH-500,1,9800,9800,경남,배송완료
SST-260501-0005,2026-05-01,18:54,스마트스토어,협업,아침에쌀,ACH-500,1,9800,9800,부산,교환완료
SST-260501-0005,2026-05-01,18:54,스마트스토어,시그니처,텃밭,TEO-750,1,15000,15000,부산,교환완료
SST-260501-0006,2026-05-01,22:09,스마트스토어,시그니처,텃밭,TEO-750,2,15000,30000,경남,배송중
SST-260501-0006,2026-05-01,22:09,스마트스토어,시그니처,욕망의 거친 물결,YOK-750,2,14500,29000,경남,배송중
SST-260501-0007,2026-05-01,20:43,스마트스토어,시즈널,대추걸렸네,DAE-375,1,8500,8500,부산,배송완료
SST-260501-0008,2026-05-01,20:11,스마트스토어,시그니처,텃밭,TEO-750,2,15000,30000,부산,배송완료
SST-260501-0009,2026-05-01,22:34,스마트스토어,시즈널,광안밤,GWA-375,2,9000,18000,부산,배송완료
SST-260501-0009,2026-05-01,22:34,스마트스토어,협업,아침에쌀,ACH-500,2,9800,19600,부산,배송완료
SST-260501-0010,2026-05-01,20:29,스마트스토어,시그니처,욕망의 거친 물결,YOK-750,1,14500,14500,부산,배송완료
SST-260501-0011,2026-05-01,19:17,스마트스토어,시즈널,광안밤,GWA-375,1,9000,9000,부산,배송완료
SST-260501-0012,2026-05-01,22:50,스마트스토어,시그니처,텃밭,TEO-750,1,15000,15000,경기,배송완료
SST-260501-0012,2026-05-01,22:50,스마트스토어,시그니처,욕망의 거친 물결,YOK-750,1,14500,14500,경기,배송완료
B2B-260501-0001,2026-05-01,15:47,B2B유통,협업,아침에쌀,ACH-500,29,7300,211700,B2B거래처,배송중
B2B-260501-0001,2026-05-01,15:47,B2B유통,시그니처,텃밭,TEO-750,28,11400,319200,B2B거래처,배송중
B2B-260501-0001,2026-05-01,15:47,B2B유통,시그니처,욕망의 거친 물결,YOK-750,16,11000,176000,B2B거래처,배송중
B2B-260501-0002,2026-05-01,20:12,B2B유통,시그니처,텃밭,TEO-750,27,11400,307800,B2B거래처,배송중
B2B-260501-0002,2026-05-01,20:12,B2B유통,시그니처,욕망의 거친 물결,YOK-750,15,11000,165000,B2B거래처,배송중
PUB-260502-0032,2026-05-02,22:58,브루펍포스,시즈널,대추걸렸네,DAE-375,1,8000,8000,경기,현장판매
PUB-260502-0033,2026-05-02,20:39,브루펍포스,시그니처,산뜻,SAN-750,1,13000,13000,경남,현장판매
PUB-260502-0034,2026-05-02,21:58,브루펍포스,시즈널,광안밤,GWA-375,1,8500,8500,경기,현장판매
PUB-260502-0035,2026-05-02,20:27,브루펍포스,시그니처,텃밭,TEO-750,1,14500,14500,경기,현장판매
PUB-260502-0035,2026-05-02,20:27,브루펍포스,시그니처,산뜻,SAN-750,2,13000,26000,경기,현장판매
PUB-260502-0036,2026-05-02,19:27,브루펍포스,시즈널,대추걸렸네,DAE-375,1,8000,8000,경남,현장판매
PUB-260502-0037,2026-05-02,19:02,브루펍포스,협업,아침에쌀,ACH-500,1,9500,9500,대구,현장판매
PUB-260502-0037,2026-05-02,19:02,브루펍포스,시그니처,산뜻,SAN-750,1,13000,13000,대구,현장판매
PUB-260502-0038,2026-05-02,19:52,브루펍포스,시그니처,욕망의 거친 물결,YOK-750,2,14000,28000,부산,현장판매
PUB-260502-0039,2026-05-02,22:00,브루펍포스,시즈널,대추걸렸네,DAE-375,1,8000,8000,부산,현장판매
PUB-260502-0040,2026-05-02,22:09,브루펍포스,시그니처,텃밭,TEO-750,2,14500,29000,경남,현장판매
PUB-260502-0040,2026-05-02,22:09,브루펍포스,시즈널,대추걸렸네,DAE-375,1,8000,8000,경남,현장판매
PUB-260502-0041,2026-05-02,22:50,브루펍포스,시그니처,텃밭,TEO-750,1,14500,14500,부산,현장판매
PUB-260502-0041,2026-05-02,22:50,브루펍포스,시그니처,산뜻,SAN-750,1,13000,13000,부산,현장판매
PUB-260502-0042,2026-05-02,17:49,브루펍포스,시즈널,대추걸렸네,DAE-375,2,8000,16000,부산,현장판매
PUB-260502-0043,2026-05-02,18:15,브루펍포스,시그니처,욕망의 거친 물결,YOK-750,1,14000,14000,인천,현장판매
PUB-260502-0043,2026-05-02,18:15,브루펍포스,시즈널,대추걸렸네,DAE-375,2,8000,16000,인천,현장판매
PUB-260502-0044,2026-05-02,11:38,브루펍포스,시그니처,산뜻,SAN-750,1,13000,13000,부산,현장판매
PUB-260502-0045,2026-05-02,18:19,브루펍포스,시그니처,텃밭,TEO-750,1,14500,14500,경기,현장판매
PUB-260502-0045,2026-05-02,18:19,브루펍포스,협업,아침에쌀,ACH-500,1,9500,9500,경기,현장판매
PUB-260502-0046,2026-05-02,22:01,브루펍포스,시즈널,대추걸렸네,DAE-375,1,8000,8000,부산,현장판매
PUB-260502-0047,2026-05-02,22:09,브루펍포스,시그니처,텃밭,TEO-750,1,14500,14500,울산,현장판매
PUB-260502-0047,2026-05-02,22:09,브루펍포스,시그니처,산뜻,SAN-750,2,13000,26000,울산,현장판매
PUB-260502-0048,2026-05-02,21:09,브루펍포스,시그니처,텃밭,TEO-750,1,14500,14500,서울,현장판매
PUB-260502-0048,2026-05-02,21:09,브루펍포스,시그니처,산뜻,SAN-750,2,13000,26000,서울,현장판매
PUB-260502-0049,2026-05-02,18:58,브루펍포스,시즈널,광안밤,GWA-375,1,8500,8500,부산,현장판매
PUB-260502-0049,2026-05-02,18:58,브루펍포스,시그니처,텃밭,TEO-750,1,14500,14500,부산,현장판매
PUB-260502-0050,2026-05-02,23:36,브루펍포스,시그니처,텃밭,TEO-750,2,14500,29000,부산,현장판매
PUB-260502-0050,2026-05-02,23:36,브루펍포스,시그니처,산뜻,SAN-750,1,13000,13000,부산,현장판매
PUB-260502-0051,2026-05-02,16:06,브루펍포스,시그니처,텃밭,TEO-750,2,14500,29000,부산,현장판매
PUB-260502-0051,2026-05-02,16:06,브루펍포스,시즈널,광안밤,GWA-375,1,8500,8500,부산,현장판매
PUB-260502-0052,2026-05-02,21:29,브루펍포스,시그니처,욕망의 거친 물결,YOK-750,1,14000,14000,부산,현장판매
PUB-260502-0052,2026-05-02,21:29,브루펍포스,협업,아침에쌀,ACH-500,1,9500,9500,부산,현장판매
PUB-260502-0053,2026-05-02,19:20,브루펍포스,시그니처,산뜻,SAN-750,1,13000,13000,부산,현장판매
PUB-260502-0054,2026-05-02,18:18,브루펍포스,시그니처,욕망의 거친 물결,YOK-750,1,14000,14000,부산,현장판매
PUB-260502-0055,2026-05-02,20:15,브루펍포스,협업,아침에쌀,ACH-500,2,9500,19000,경기,현장판매
PUB-260502-0056,2026-05-02,19:18,브루펍포스,협업,아침에쌀,ACH-500,2,9500,19000,부산,현장판매
PUB-260502-0056,2026-05-02,19:18,브루펍포스,시그니처,욕망의 거친 물결,YOK-750,2,14000,28000,부산,현장판매
PUB-260502-0057,2026-05-02,20:36,브루펍포스,시그니처,욕망의 거친 물결,YOK-750,2,14000,28000,대구,현장판매
PUB-260502-0058,2026-05-02,21:42,브루펍포스,시즈널,대추걸렸네,DAE-375,2,8000,16000,경남,현장판매
PUB-260502-0059,2026-05-02,22:56,브루펍포스,시즈널,광안밤,GWA-375,2,8500,17000,대구,현장판매
PUB-260502-0060,2026-05-02,23:27,브루펍포스,시그니처,텃밭,TEO-750,2,14500,29000,울산,현장판매
PUB-260502-0061,2026-05-02,14:26,브루펍포스,시그니처,텃밭,TEO-750,1,14500,14500,부산,현장판매
PUB-260502-0061,2026-05-02,14:26,브루펍포스,협업,아침에쌀,ACH-500,1,9500,9500,부산,현장판매
MAL-260502-0010,2026-05-02,17:36,자사몰,시그니처,텃밭,TEO-750,1,15500,15500,부산,배송완료
MAL-260502-0011,2026-05-02,19:44,자사몰,시그니처,텃밭,TEO-750,2,15500,31000,부산,배송완료
MAL-260502-0012,2026-05-02,22:10,자사몰,시즈널,광안밤,GWA-375,1,9300,9300,부산,배송완료
MAL-260502-0012,2026-05-02,22:10,자사몰,협업,아침에쌀,ACH-500,1,10000,10000,부산,배송완료
MAL-260502-0013,2026-05-02,20:58,자사몰,시그니처,텃밭,TEO-750,2,15500,31000,서울,배송완료
MAL-260502-0014,2026-05-02,21:41,자사몰,시그니처,산뜻,SAN-750,2,14000,28000,부산,배송완료
MAL-260502-0014,2026-05-02,21:41,자사몰,시즈널,광안밤,GWA-375,1,9300,9300,부산,배송완료
MAL-260502-0015,2026-05-02,23:06,자사몰,시그니처,텃밭,TEO-750,2,15500,31000,서울,배송완료
MAL-260502-0016,2026-05-02,19:07,자사몰,시그니처,산뜻,SAN-750,2,14000,28000,부산,배송완료
MAL-260502-0017,2026-05-02,23:07,자사몰,시그니처,산뜻,SAN-750,2,14000,28000,부산,교환완료
MAL-260502-0018,2026-05-02,18:32,자사몰,시즈널,광안밤,GWA-375,2,9300,18600,경남,배송완료
MAL-260502-0018,2026-05-02,18:32,자사몰,시그니처,텃밭,TEO-750,1,15500,15500,경남,배송완료
SST-260502-0013,2026-05-02,18:23,스마트스토어,시즈널,대추걸렸네,DAE-375,2,8500,17000,서울,배송중
SST-260502-0014,2026-05-02,15:04,스마트스토어,시즈널,광안밤,GWA-375,1,9000,9000,경기,배송중
SST-260502-0015,2026-05-02,22:57,스마트스토어,협업,아침에쌀,ACH-500,1,9800,9800,서울,교환완료
SST-260502-0015,2026-05-02,22:57,스마트스토어,시그니처,욕망의 거친 물결,YOK-750,1,14500,14500,서울,교환완료
SST-260502-0016,2026-05-02,22:22,스마트스토어,시그니처,텃밭,TEO-750,1,15000,15000,기타,배송완료
SST-260502-0016,2026-05-02,22:22,스마트스토어,협업,아침에쌀,ACH-500,1,9800,9800,기타,배송완료
SST-260502-0017,2026-05-02,21:51,스마트스토어,시즈널,대추걸렸네,DAE-375,2,8500,17000,대구,배송완료
SST-260502-0018,2026-05-02,17:29,스마트스토어,시즈널,광안밤,GWA-375,1,9000,9000,부산,배송완료
SST-260502-0018,2026-05-02,17:29,스마트스토어,시그니처,산뜻,SAN-750,2,13500,27000,부산,배송완료
SST-260502-0019,2026-05-02,22:04,스마트스토어,시그니처,욕망의 거친 물결,YOK-750,1,14500,14500,부산,배송완료
SST-260502-0020,2026-05-02,18:30,스마트스토어,협업,아침에쌀,ACH-500,2,9800,19600,경기,취소완료
SST-260502-0021,2026-05-02,18:09,스마트스토어,협업,아침에쌀,ACH-500,2,9800,19600,경기,교환완료
SST-260502-0022,2026-05-02,23:44,스마트스토어,협업,아침에쌀,ACH-500,1,9800,9800,서울,배송완료
SST-260502-0022,2026-05-02,23:44,스마트스토어,시그니처,텃밭,TEO-750,1,15000,15000,서울,배송완료
SST-260502-0023,2026-05-02,20:39,스마트스토어,시즈널,대추걸렸네,DAE-375,2,8500,17000,부산,배송완료
SST-260502-0023,2026-05-02,20:39,스마트스토어,시그니처,텃밭,TEO-750,2,15000,30000,부산,배송완료
SST-260502-0024,2026-05-02,19:47,스마트스토어,시그니처,욕망의 거친 물결,YOK-750,2,14500,29000,부산,배송완료
SST-260502-0025,2026-05-02,18:03,스마트스토어,시즈널,광안밤,GWA-375,2,9000,18000,인천,배송완료
B2B-260502-0003,2026-05-02,20:54,B2B유통,협업,아침에쌀,ACH-500,17,7300,124100,B2B거래처,배송완료
B2B-260502-0003,2026-05-02,20:54,B2B유통,시그니처,텃밭,TEO-750,27,11400,307800,B2B거래처,배송완료
B2B-260502-0003,2026-05-02,20:54,B2B유통,시그니처,욕망의 거친 물결,YOK-750,18,11000,198000,B2B거래처,배송완료
B2B-260502-0003,2026-05-02,20:54,B2B유통,시그니처,산뜻,SAN-750,18,10300,185400,B2B거래처,배송완료
B2B-260502-0004,2026-05-02,21:19,B2B유통,시즈널,대추걸렸네,DAE-375,11,6200,68200,B2B거래처,배송완료
B2B-260502-0004,2026-05-02,21:19,B2B유통,시즈널,광안밤,GWA-375,24,6600,158400,B2B거래처,배송완료
B2B-260502-0005,2026-05-02,19:05,B2B유통,시즈널,광안밤,GWA-375,19,6600,125400,B2B거래처,배송중
B2B-260502-0005,2026-05-02,19:05,B2B유통,협업,아침에쌀,ACH-500,6,7300,43800,B2B거래처,배송중
PUB-260503-0062,2026-05-03,20:41,브루펍포스,협업,아침에쌀,ACH-500,1,9500,9500,서울,현장판매
PUB-260503-0062,2026-05-03,20:41,브루펍포스,시그니처,텃밭,TEO-750,2,14500,29000,서울,현장판매
PUB-260503-0063,2026-05-03,20:42,브루펍포스,시즈널,대추걸렸네,DAE-375,1,8000,8000,인천,현장판매
PUB-260503-0064,2026-05-03,20:03,브루펍포스,시즈널,대추걸렸네,DAE-375,1,8000,8000,부산,현장판매
PUB-260503-0065,2026-05-03,19:28,브루펍포스,시즈널,대추걸렸네,DAE-375,1,8000,8000,경남,현장판매
PUB-260503-0066,2026-05-03,21:23,브루펍포스,시즈널,대추걸렸네,DAE-375,1,8000,8000,서울,현장판매
PUB-260503-0066,2026-05-03,21:23,브루펍포스,시그니처,욕망의 거친 물결,YOK-750,1,14000,14000,서울,현장판매
PUB-260503-0067,2026-05-03,21:36,브루펍포스,협업,아침에쌀,ACH-500,2,9500,19000,서울,현장판매
PUB-260503-0067,2026-05-03,21:36,브루펍포스,시그니처,텃밭,TEO-750,1,14500,14500,서울,현장판매
PUB-260503-0068,2026-05-03,20:47,브루펍포스,시그니처,텃밭,TEO-750,2,14500,29000,경기,현장판매
PUB-260503-0069,2026-05-03,19:21,브루펍포스,시그니처,텃밭,TEO-750,2,14500,29000,부산,현장판매
PUB-260503-0070,2026-05-03,23:11,브루펍포스,시그니처,산뜻,SAN-750,2,13000,26000,부산,현장판매
PUB-260503-0071,2026-05-03,22:56,브루펍포스,시그니처,텃밭,TEO-750,1,14500,14500,부산,현장판매
PUB-260503-0072,2026-05-03,20:57,브루펍포스,시그니처,욕망의 거친 물결,YOK-750,1,14000,14000,부산,현장판매
PUB-260503-0073,2026-05-03,19:42,브루펍포스,시그니처,텃밭,TEO-750,2,14500,29000,부산,현장판매
PUB-260503-0074,2026-05-03,20:32,브루펍포스,시그니처,욕망의 거친 물결,YOK-750,1,14000,14000,부산,현장판매
PUB-260503-0074,2026-05-03,20:32,브루펍포스,시즈널,광안밤,GWA-375,1,8500,8500,부산,현장판매
PUB-260503-0075,2026-05-03,19:15,브루펍포스,시그니처,텃밭,TEO-750,2,14500,29000,서울,현장판매
PUB-260503-0076,2026-05-03,22:00,브루펍포스,시그니처,산뜻,SAN-750,2,13000,26000,서울,현장판매
PUB-260503-0076,2026-05-03,22:00,브루펍포스,시그니처,욕망의 거친 물결,YOK-750,1,14000,14000,서울,현장판매
PUB-260503-0077,2026-05-03,19:03,브루펍포스,시즈널,대추걸렸네,DAE-375,2,8000,16000,부산,현장판매
PUB-260503-0078,2026-05-03,19:06,브루펍포스,시그니처,산뜻,SAN-750,2,13000,26000,부산,현장판매
PUB-260503-0078,2026-05-03,19:06,브루펍포스,시그니처,욕망의 거친 물결,YOK-750,2,14000,28000,부산,현장판매
PUB-260503-0079,2026-05-03,20:53,브루펍포스,시즈널,광안밤,GWA-375,1,8500,8500,부산,현장판매
PUB-260503-0080,2026-05-03,18:22,브루펍포스,시그니처,산뜻,SAN-750,2,13000,26000,대구,현장판매
PUB-260503-0081,2026-05-03,21:13,브루펍포스,시그니처,텃밭,TEO-750,2,14500,29000,서울,현장판매
PUB-260503-0082,2026-05-03,19:35,브루펍포스,시그니처,욕망의 거친 물결,YOK-750,1,14000,14000,부산,현장판매
PUB-260503-0082,2026-05-03,19:35,브루펍포스,시즈널,광안밤,GWA-375,1,8500,8500,부산,현장판매
PUB-260503-0083,2026-05-03,23:29,브루펍포스,협업,아침에쌀,ACH-500,1,9500,9500,부산,현장판매
PUB-260503-0083,2026-05-03,23:29,브루펍포스,시즈널,광안밤,GWA-375,2,8500,17000,부산,현장판매
PUB-260503-0084,2026-05-03,19:32,브루펍포스,시그니처,텃밭,TEO-750,1,14500,14500,부산,현장판매
PUB-260503-0085,2026-05-03,16:15,브루펍포스,시그니처,산뜻,SAN-750,1,13000,13000,대구,현장판매
MAL-260503-0019,2026-05-03,17:17,자사몰,협업,아침에쌀,ACH-500,2,10000,20000,부산,취소완료
MAL-260503-0020,2026-05-03,17:45,자사몰,시그니처,텃밭,TEO-750,1,15500,15500,서울,배송완료
MAL-260503-0021,2026-05-03,21:50,자사몰,협업,아침에쌀,ACH-500,2,10000,20000,경기,취소완료
MAL-260503-0021,2026-05-03,21:50,자사몰,시그니처,텃밭,TEO-750,1,15500,15500,경기,취소완료
MAL-260503-0022,2026-05-03,21:23,자사몰,시그니처,텃밭,TEO-750,1,15500,15500,서울,배송완료
MAL-260503-0023,2026-05-03,18:06,자사몰,시그니처,욕망의 거친 물결,YOK-750,1,15000,15000,서울,배송완료
MAL-260503-0024,2026-05-03,13:00,자사몰,시그니처,텃밭,TEO-750,2,15500,31000,부산,배송완료
MAL-260503-0025,2026-05-03,17:35,자사몰,시그니처,산뜻,SAN-750,2,14000,28000,경남,배송완료
MAL-260503-0026,2026-05-03,22:05,자사몰,시그니처,텃밭,TEO-750,2,15500,31000,서울,배송완료
MAL-260503-0027,2026-05-03,22:33,자사몰,시즈널,대추걸렸네,DAE-375,2,8800,17600,경기,배송완료
MAL-260503-0027,2026-05-03,22:33,자사몰,협업,아침에쌀,ACH-500,2,10000,20000,경기,배송완료
SST-260503-0026,2026-05-03,21:43,스마트스토어,협업,아침에쌀,ACH-500,2,9800,19600,부산,배송완료
SST-260503-0026,2026-05-03,21:43,스마트스토어,시즈널,광안밤,GWA-375,2,9000,18000,부산,배송완료
SST-260503-0027,2026-05-03,20:14,스마트스토어,시즈널,대추걸렸네,DAE-375,2,8500,17000,대구,배송중
SST-260503-0028,2026-05-03,19:20,스마트스토어,시즈널,광안밤,GWA-375,2,9000,18000,울산,배송완료
SST-260503-0028,2026-05-03,19:20,스마트스토어,시그니처,텃밭,TEO-750,2,15000,30000,울산,배송완료
SST-260503-0029,2026-05-03,21:15,스마트스토어,시그니처,텃밭,TEO-750,2,15000,30000,경기,배송완료
SST-260503-0029,2026-05-03,21:15,스마트스토어,시그니처,욕망의 거친 물결,YOK-750,1,14500,14500,경기,배송완료
SST-260503-0030,2026-05-03,18:28,스마트스토어,시즈널,광안밤,GWA-375,2,9000,18000,서울,배송완료
SST-260503-0031,2026-05-03,21:39,스마트스토어,시즈널,대추걸렸네,DAE-375,1,8500,8500,울산,배송중
SST-260503-0032,2026-05-03,19:47,스마트스토어,시그니처,텃밭,TEO-750,1,15000,15000,대구,배송완료
SST-260503-0033,2026-05-03,21:11,스마트스토어,시그니처,텃밭,TEO-750,2,15000,30000,부산,배송완료
SST-260503-0033,2026-05-03,21:11,스마트스토어,시즈널,광안밤,GWA-375,1,9000,9000,부산,배송완료
SST-260503-0034,2026-05-03,20:53,스마트스토어,시즈널,광안밤,GWA-375,1,9000,9000,부산,배송완료
SST-260503-0035,2026-05-03,19:39,스마트스토어,협업,아침에쌀,ACH-500,1,9800,9800,서울,배송완료
SST-260503-0036,2026-05-03,17:53,스마트스토어,시그니처,텃밭,TEO-750,2,15000,30000,부산,배송완료
B2B-260503-0006,2026-05-03,13:18,B2B유통,시그니처,텃밭,TEO-750,20,11400,228000,B2B거래처,배송완료
B2B-260503-0006,2026-05-03,13:18,B2B유통,협업,아침에쌀,ACH-500,19,7300,138700,B2B거래처,배송완료
B2B-260503-0006,2026-05-03,13:18,B2B유통,시그니처,산뜻,SAN-750,19,10300,195700,B2B거래처,배송완료
B2B-260503-0006,2026-05-03,13:18,B2B유통,시즈널,광안밤,GWA-375,10,6600,66000,B2B거래처,배송완료
B2B-260503-0007,2026-05-03,21:32,B2B유통,시그니처,텃밭,TEO-750,18,11400,205200,B2B거래처,배송완료
B2B-260503-0007,2026-05-03,21:32,B2B유통,시그니처,욕망의 거친 물결,YOK-750,22,11000,242000,B2B거래처,배송완료
B2B-260503-0007,2026-05-03,21:32,B2B유통,시즈널,광안밤,GWA-375,22,6600,145200,B2B거래처,배송완료
B2B-260503-0007,2026-05-03,21:32,B2B유통,협업,아침에쌀,ACH-500,18,7300,131400,B2B거래처,배송완료
B2B-260503-0008,2026-05-03,19:33,B2B유통,시그니처,텃밭,TEO-750,14,11400,159600,B2B거래처,배송완료
B2B-260503-0008,2026-05-03,19:33,B2B유통,협업,아침에쌀,ACH-500,20,7300,146000,B2B거래처,배송완료
B2B-260503-0008,2026-05-03,19:33,B2B유통,시즈널,대추걸렸네,DAE-375,18,6200,111600,B2B거래처,배송완료
MAL-260504-0028,2026-05-04,19:33,자사몰,협업,아침에쌀,ACH-500,2,10000,20000,서울,배송중
MAL-260504-0028,2026-05-04,19:33,자사몰,시즈널,대추걸렸네,DAE-375,1,8800,8800,서울,배송중
MAL-260504-0029,2026-05-04,18:17,자사몰,시즈널,광안밤,GWA-375,1,9300,9300,부산,배송완료
MAL-260504-0029,2026-05-04,18:17,자사몰,시그니처,텃밭,TEO-750,2,15500,31000,부산,배송완료
MAL-260504-0030,2026-05-04,19:21,자사몰,시그니처,텃밭,TEO-750,1,15500,15500,대구,취소완료
MAL-260504-0031,2026-05-04,23:52,자사몰,협업,아침에쌀,ACH-500,2,10000,20000,부산,배송완료
